,week,category,weekly_rank,weekly_hours_viewed,cumulative_weeks_in_top_10,Show_title,type,description,release_year,age_certification,runtime,genres,production_countries,imdb_id,imdb_score,imdb_votes
504,2022-08-07,TV (English),5,36690000,14,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
505,2022-08-07,TV (English),6,26520000,1,uncoupled,series,"Michael's life seemed to be perfect, until his long time partner blindsided him after 17 years of being in long time relationship. He has to confront the nightmares of losing his soulmate and suddenly finding himself as a single g...",2022–,TV-MA,N/A,"Comedy, Drama, Romance",United States,tt15466144,7.0,"14,594"
506,2022-08-07,TV (English),7,21310000,6,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
507,2022-08-07,TV (English),8,20280000,1,trainwreck: woodstock '99,series,"Woodstock 1969 promised peace and music, but its '99 revival delivered days of rage, riots and real harm. Why did it go so horribly wrong?",2022,TV-MA,1 min,"Documentary, History, Music",United States,tt21217912,7.4,"15,086"
508,2022-08-07,TV (English),9,19880000,5,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
509,2022-08-07,TV (English),10,17040000,11,stranger things,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],tt4574334,8.7,1101055.0
510,2022-08-07,TV (Non-English),1,67010000,5,extraordinary attorney woo,SHOW,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.,2022.0,TV-14,70.0,['drama'],['KR'],tt20869502,8.8,"10,429"
511,2022-08-07,TV (Non-English),2,31200000,2,another self,series,Three close friends set off on a journey to Ayvalik and then to their reshaped future.,2022–,TV-MA,1 min,"Drama, Romance",Turkey,tt14899624,6.4,"3,333"
512,2022-08-07,TV (Non-English),3,29730000,3,pasión de gavilanes,series,"The Reyes brothers were three honest and good-natured men until the day a shocking, unforgettable tragedy sends them in search of revenge. Their plan takes an unexpected turn when they meet the three Elizondo sisters, the beautifu...",2003–2022,TV-MA,60 min,"Drama, Romance","Colombia, United States",tt0387763,7.8,"2,527"
513,2022-08-07,TV (Non-English),4,20100000,6,alchemy of souls,SHOW,"A powerful sorceress in a blind woman's body encounters a man from a prestigious family, who wants her help to change his destiny.",2022.0,TV-14,80.0,"['drama', 'action', 'thriller', 'scifi', 'comedy', 'fantasy', 'romance']",['KR'],tt20859920,8.6,878.0
514,2022-08-07,TV (Non-English),5,17370000,4,alba,SHOW,A chain of events is kickstarted when a young girl is gang-raped by four boys.,2021.0,TV-MA,50.0,['drama'],['ES'],tt12446242,6.2,511.0
515,2022-08-07,TV (Non-English),6,14790000,1,"good morning, verônica",SHOW,"While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it.",2020.0,TV-MA,45.0,"['crime', 'drama', 'thriller']",['BR'],tt12987918,7.5,3673.0
516,2022-08-07,TV (Non-English),7,9260000,1,"good morning, verônica",SHOW,"While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it.",2020.0,TV-MA,45.0,"['crime', 'drama', 'thriller']",['BR'],tt12987918,7.5,3673.0
517,2022-08-07,TV (Non-English),8,9150000,3,pasión de gavilanes,series,"The Reyes brothers were three honest and good-natured men until the day a shocking, unforgettable tragedy sends them in search of revenge. Their plan takes an unexpected turn when they meet the three Elizondo sisters, the beautifu...",2003–2022,TV-MA,60 min,"Drama, Romance","Colombia, United States",tt0387763,7.8,"2,527"
518,2022-08-07,TV (Non-English),9,8760000,2,rebelde,SHOW,Head back to Elite Way School as a new generation of students hope to win the Battle of the Bands.,2022.0,TV-MA,40.0,"['drama', 'romance', 'family', 'comedy', 'music']",['MX'],tt14153686,6.2,2492.0
519,2022-08-07,TV (Non-English),10,7540000,4,remarriage & desires,SHOW,"Through an exclusive matchmaking agency, women strive to marry a desirable bachelor and into the highest echelon of society.",2022.0,TV-14,62.0,['drama'],['KR'],tt15268768,7.2,459.0
520,2022-07-31,Films (English),1,96470000,2,the gray man,MOVIE,"When a shadowy CIA agent uncovers damning agency secrets, he's hunted across the globe by a sociopathic rogue operative who's put a bounty on his head.",2022.0,PG-13,128.0,"['thriller', 'action']","['US', 'CZ']",tt1649418,6.6,46071.0
521,2022-07-31,Films (English),2,48230000,1,purple hearts,movie,"In spite of their many differences, Cassie, a struggling singer-songwriter, and Luke, a troubled Marine, agree to marry solely for military benefits. But when tragedy strikes, the line between real and pretend begins to blur.",2022,TV-14,122 min,"Drama, Music, Romance",United States,tt4614584,6.7,"35,776"
522,2022-07-31,Films (English),3,21070000,4,the sea beast,MOVIE,"When a young girl stows away on the ship of a legendary sea monster hunter, they launch an epic journey into uncharted waters - and make history to boot.",2022.0,PG,115.0,"['comedy', 'family', 'fantasy', 'scifi', 'animation']",['US'],tt9288046,7.1,18852.0
523,2022-07-31,Films (English),4,11070000,3,persuasion,MOVIE,"Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth - the dashing one she once sent away - crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances.",2022.0,PG,107.0,"['romance', 'drama', 'comedy']","['US', 'GB']",tt13456318,5.7,"26,579"
524,2022-07-31,Films (English),5,9370000,6,sing 2,MOVIE,"Buster and his new cast now have their sights set on debuting a new show at the Crystal Tower Theater in glamorous Redshore City. But with no connections, he and his singers must sneak into the Crystal Entertainment offices, run by the ruthless wolf mogul Jimmy Crystal, where the gang pitches the ridiculous idea of casting the lion rock legend Clay Calloway in their show. Buster must embark on a quest to find the now-isolated Clay and persuade him to return to the stage.",2021.0,PG,110.0,"['comedy', 'family', 'fantasy', 'music', 'drama', 'animation']",['US'],tt6467266,7.4,58423.0
525,2022-07-31,Films (English),6,8300000,1,spider-man: far from home,movie,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",2019,PG-13,129 min,"Action, Adventure, Sci-Fi",United States,tt6320628,7.4,"486,617"
526,2022-07-31,Films (English),7,7620000,6,the man from toronto,MOVIE,"In a case of mistaken identity, the world’s deadliest assassin, known as the Man from Toronto, and a New York City screw-up are forced to team up after being confused for each other at an Airbnb.",2022.0,PG-13,110.0,"['action', 'thriller', 'drama', 'romance', 'comedy']",['US'],tt11671006,5.8,31497.0
528,2022-07-31,Films (English),9,4140000,1,line of duty,series,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",2012–2021,TV-14,60 min,"Crime, Drama, Mystery",United Kingdom,tt2303687,8.7,"59,078"
529,2022-07-31,Films (English),10,4090000,14,red notice,MOVIE,"An Interpol-issued Red Notice is a global alert to hunt and capture the world's most wanted. But when a daring heist brings together the FBI's top profiler and two rival criminals, there's no telling what will happen.",2021.0,PG-13,117.0,"['thriller', 'action', 'comedy', 'crime']",['US'],tt7991608,6.3,264194.0
534,2022-07-31,Films (Non-English),5,3220000,1,the entitled,movie,"A young man, broke and jobless, abducts three rich college kids to try and get money from their fathers.",2011,R,91 min,"Crime, Thriller",Canada,tt1650535,6.1,"6,675"
537,2022-07-31,Films (Non-English),8,2360000,2,live is life,movie,Five friends spend one last summer together as they begin transitioning to adulthood.,2021,TV-MA,109 min,"Comedy, Drama",Spain,tt12923028,6.3,934
540,2022-07-31,TV (English),1,87940000,2,virgin river,SHOW,"After seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of California, where she meets an intriguing man.",2019.0,TV-14,44.0,"['drama', 'romance']",['US'],tt9077530,7.4,36459.0
541,2022-07-31,TV (English),2,57720000,10,stranger things,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],tt4574334,8.7,1101055.0
542,2022-07-31,TV (English),3,48090000,1,keep breathing,series,"When a small plane crashes in the middle of the Canadian wilderness, a lone woman must battle the elements and odds to survive.",2022,TV-MA,1 min,"Adventure, Drama, Thriller",United States,tt14117010,5.2,"10,848"
543,2022-07-31,TV (English),4,39760000,13,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
544,2022-07-31,TV (English),5,27470000,3,resident evil,SHOW,"Nearly three decades after the discovery of the T-virus, an outbreak reveals the Umbrella Corporation's dark secrets. Based on the horror franchise.",2022.0,TV-MA,51.0,"['scifi', 'thriller', 'action', 'horror']",['US'],tt9660182,3.7,24982.0
545,2022-07-31,TV (English),6,24670000,1,the most hated man on the internet,series,"Follows the story of a woman who stood up to Hunter Moore, a self-proclaimed ""professional life ruiner,"" after photos of her daughter being naked were posted online.",2022,TV-MA,2 min,"Documentary, Crime",United Kingdom,tt21098728,6.8,"5,900"
546,2022-07-31,TV (English),7,24170000,5,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
547,2022-07-31,TV (English),8,21440000,10,stranger things,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],tt4574334,8.7,1101055.0
548,2022-07-31,TV (English),9,20590000,4,manifest,SHOW,"After landing from a turbulent but routine flight, the crew and passengers of Montego Air Flight 828 discover five years have passed in what seemed like a few hours. As their new realities become clear, a deeper mystery unfolds and some of the returned passengers soon realize they may be meant for something greater than they ever thought possible.",2018.0,TV-14,42.0,"['drama', 'thriller', 'scifi']",['US'],tt8421350,7.1,53185.0
549,2022-07-31,TV (English),10,20170000,10,stranger things,SHOW,"When a young boy vanishes, a small town uncovers a mystery involving secret experiments, terrifying supernatural forces, and one strange little girl.",2016.0,TV-14,61.0,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",['US'],tt4574334,8.7,1101055.0
550,2022-07-31,TV (Non-English),1,65630000,4,extraordinary attorney woo,SHOW,Brilliant attorney Woo Young-woo tackles challenges in the courtroom and beyond as a newbie at a top law firm and a woman on the autism spectrum.,2022.0,TV-14,70.0,['drama'],['KR'],tt20869502,8.8,"10,429"
